rate_hits_mapped,rate_hits_unmapped,time_mapped,time_unmapped
0.0014,0.0001,8.16194e-06,8.23113e-06
0.0013,0,8.12211e-06,8.18724e-06
0.0011,0,8.15352e-06,8.20302e-06
0.0921,0.0725,8.17099e-06,8.23124e-06
0.0003,0,8.08637e-06,8.16011e-06
0.0013,0.0011,8.09872e-06,8.15598e-06
0.0009,0,8.10884e-06,8.18125e-06
0.0447,0.0101,8.09619e-06,8.16151e-06
0.0505,0.0003,8.1935e-06,8.25266e-06
0.0006,0.0002,8.06234e-06,8.12216e-06
0.0017,0,8.14375e-06,8.21226e-06
0.0172,0.003,8.15343e-06,8.18506e-06
0.0058,0.0001,8.13372e-06,8.17407e-06
0.0016,0,8.10999e-06,8.17228e-06
0.1927,0.1182,8.14516e-06,8.20793e-06
0.0006,0.0001,8.08252e-06,8.15574e-06
0.0026,0.0001,8.13887e-06,8.18987e-06
0.1523,0,8.3142e-06,8.15299e-06
0.0013,0,8.08241e-06,8.15227e-06
0.0423,0.0115,8.15528e-06,8.22028e-06
0.0029,0.0001,8.11168e-06,8.1728e-06
0.0023,0.0006,8.14409e-06,8.21638e-06
0.1227,0.0004,8.25906e-06,8.31587e-06
0.0033,0,8.12611e-06,8.18812e-06
0.0013,0,8.13945e-06,8.18986e-06
0.0006,0,8.14275e-06,8.21959e-06
0.0016,0,8.12602e-06,8.1806e-06
0.0014,0,8.13153e-06,8.18701e-06
